"","Kingdom","Phylum","Class","Order","Family","Genus","Species","barcode01","barcode02"
"KJ461519.1.1439","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","Flavisolibacter sp. LCS15",2,0
"KJ192098.1.1519","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured Planctomycetaceae bacterium",2,3
"KJ192035.1.1485","Bacteria","Armatimonadota","uncultured","uncultured Armatimonadetes bacterium","","","",2,0
"KJ191901.1.1520","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","uncultured Nannocystineae bacterium",2,0
"KJ191874.1.1505","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","uncultured Paenibacillaceae bacterium",2,3
"KJ191823.1.1476","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","uncultured Acidobacteria bacterium","",2,0
"KJ191778.1.1460","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","uncultured Acidobacteria bacterium",2,0
"KJ191774.1.1463","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","uncultured Acidobacteria bacterium",2,4
"KF956789.1.1447","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","uncultured Gemmatimonadaceae bacterium",2,0
"KF912976.1.1504","Bacteria","GAL15","uncultured bacterium","","","","",2,1
"KF182219.1.1502","Bacteria","Actinobacteriota","Acidimicrobiia","uncultured","uncultured bacterium","","",2,7
"KF093771.1.1343","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","uncultured","uncultured bacterium",2,0
"KF026316.1.1504","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured bacterium",2,0
"KC554289.1.1542","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured bacterium","",2,2
"KC554257.1.1541","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","uncultured bacterium","",2,1
"KC554190.1.1550","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","uncultured bacterium",2,0
"JYMV01012758.1039.2521","Bacteria","WPS-2","hydrothermal vent metagenome","","","","",2,0
"JX133618.1.1467","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","uncultured bacterium",2,0
"JX133606.1.1459","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","uncultured bacterium",2,1
"JQNN01000001.4057073.4058581","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia sp. 9096",2,0
"JQ836687.1.1476","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora","Micromonospora sp. 2804SIM01",2,0
"JQ836669.1.1476","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora","Micromonospora sp. 2602SCA9",2,0
"JQ798399.1.1473","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","uncultured","uncultured bacterium",2,0
"JQ775314.1.1570","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Thermobacillus","uncultured Bacillus sp.",2,1
"JQ617901.1.1492","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Burkholderia sp. XWS-7",2,1
"JQ428506.1.1492","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter","uncultured bacterium",2,0
"JQ278911.1.1519","Bacteria","Methylomirabilota","Methylomirabilia","Rokubacteriales","uncultured bacterium","","",2,3
"JQ278777.1.1521","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","uncultured Nannocystineae bacterium",2,0
"JN540279.1.1478","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter","uncultured Myxococcales bacterium",2,1
"JN024081.1.1470","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",2,0
"JN024031.1.1481","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",2,1
"JN023771.1.1491","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","uncultured bacterium",2,1
"JN023239.1.1456","Bacteria","WPS-2","uncultured bacterium","","","","",2,0
"JN023105.1.1508","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter","uncultured bacterium",2,0
"JF833886.1.1487","Bacteria","Armatimonadota","uncultured","uncultured Firmicutes bacterium","","","",2,1
"JF833840.1.1468","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","uncultured actinobacterium",2,0
"JF833639.1.1444","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured planctomycete",2,1
"JF737898.1.1465","Bacteria","WPS-2","uncultured bacterium","","","","",2,0
"JF429091.1.1457","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","uncultured bacterium",2,1
"JF429074.1.1521","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1","uncultured bacterium",2,2
