#OTU ID	barcode01	barcode02
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_87	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_88	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_89	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_9	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_90	2	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_91	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_92	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_93	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_94	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_95	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_96	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_97	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_98	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_99	0	1
