"","Kingdom","Phylum","Class","Order","Family","Genus","Species","barcode01","barcode02"
"HQ119196.1.1486","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera","uncultured bacterium",15,8
"HQ118984.1.1488","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","uncultured","uncultured bacterium",15,11
"HM270022.1.1366","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured bacterium",15,5
"FJ466008.1.1420","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured bacterium",15,4
"EU881280.1.1488","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","uncultured bacterium","",15,6
"EU044288.1.1396","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured planctomycete",15,18
"EF516204.1.1417","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured bacterium",15,16
"KY992640.1.1461","Bacteria","WPS-2","uncultured bacterium","","","","",14,10
"KJ192066.1.1489","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","uncultured Gemmatimonas sp.",14,9
"KF182253.1.1493","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","uncultured bacterium",14,26
"JX505159.1.1430","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","HSB OF53-F07","uncultured Ktedonobacter sp.",14,6
"JX505068.1.1432","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","HSB OF53-F07","uncultured Ktedonobacter sp.",14,5
"JX504910.1.1431","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","HSB OF53-F07","uncultured Ktedonobacter sp.",14,5
"JF833785.1.1422","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","uncultured bacterium","",14,12
"JF833782.1.1420","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","uncultured bacterium","",14,11
"JF833776.1.1418","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","uncultured bacterium","",14,11
"JF235693.1.1366","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured bacterium",14,8
"MF631004.1.1504","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Ramlibacter sp.",13,18
"KY984256.1.1488","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","HSB OF53-F07","uncultured Thermosporothrix sp.",13,0
"KM200564.1.1499","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured bacterium",13,22
"KM200542.1.1473","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera","uncultured bacterium",13,12
"KM200514.1.1486","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Aquisphaera","uncultured Singulisphaera sp.",13,9
"KJ191938.1.1476","Bacteria","Chloroflexi","AD3","uncultured Thermomicrobia bacterium","","","",13,35
"KJ191823.1.1476","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","uncultured Acidobacteria bacterium","",13,2
"KJ191777.1.1463","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","uncultured Acidobacteria bacterium",13,4
"JX505225.1.1428","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","JG30a-KF-32","uncultured Thermosporotrichaceae bacterium",13,4
"JX505096.1.1425","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","uncultured Acidobacteria bacterium","",13,4
"JX504996.1.1431","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","HSB OF53-F07","uncultured Ktedonobacter sp.",13,4
"JX133392.1.1515","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter","uncultured bacterium",13,7
"JN023197.1.1457","Bacteria","WPS-2","uncultured bacterium","","","","",13,1
"HQ445715.1.1477","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",13,8
"HQ445663.1.1477","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",13,9
"HQ445631.1.1477","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",13,9
"HQ119518.1.1506","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured bacterium",13,25
"HM748748.1.1421","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","uncultured","bacterium Ellin7538","",13,11
"HM748678.1.1246","Bacteria","Chloroflexi","TK10","bacterium Ellin6530","","","",13,3
"HM366513.1.1399","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","uncultured bacterium",13,7
"FJ625337.1.1470","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",13,5
"EU861906.1.1464","Bacteria","Chloroflexi","TK10","uncultured soil bacterium","","","",13,1
"EF516713.1.1431","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",13,30
"EF516390.1.1418","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","JG30a-KF-32","uncultured bacterium",13,4
"LN573919.1.1391","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured bacterium",12,6
"LN573073.1.1345","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",12,11
"LN572442.1.1347","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",12,10
"LN560503.1.1343","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",12,8
"KX753070.1.1499","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured bacterium",12,12
"KX508293.1.1491","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","uncultured bacterium",12,6
